"IPEDSID","NAME","LADDR","LADDR2","LCITY","LSTATE","LZIP","LZIP4","COUNTRY","PHONE","STFIPS","COFIPS","LAT","LON","SECTOR","LEVEL","INST_TYPE","NAICS_CODE","NAICS_DESC","HI_OFFER","DEG_GRANT","LOCALE","STATUS","CLOSE_DATE","MERGE_ID","ALIAS","SIZE_SET","INST_SIZE","PT_ENROLL","FT_ENROLL","TOT_ENROLL","HOUSING","DORM_CAP","FTE","NCES_URL","SCHOOL_URL","SHELTER_ID","LAST_UPDAT"
381741,"Remington College-Colorado Springs Campus","6050 Erin Park Drive",NA,"Colorado Springs","CO",80918,3401,"US","7195321234",8,8041,38.91926617,-104.7879666,3,1,3,611310,"Colleges, Universities, and Professional Schools",30,1,11,"A","-2",-2,NA,6,1,0,154,154,2,0,25,"http://nces.ed.gov/GLOBALLOCATOR/","www.remingtoncollege.edu",NA,"9/1/10"
438382,"University of Phoenix-Southern Colorado Campus","5725 Mark Dabling Blvd.",NA,"Colorado Springs","CO",80919,2221,"US","8008344646",8,8041,38.913955,-104.8210011,3,1,3,611310,"Colleges, Universities, and Professional Schools",20,1,11,"A","-2",-2,NA,9,1,0,474,474,2,0,351,"http://nces.ed.gov/GLOBALLOCATOR/","www.phoenix.edu",NA,"9/1/10"
441308,"University of the Rockies","555 E Pikes Peak Ave #108",NA,"Colorado Springs","CO",80903,3612,"US","7194420505",8,8041,38.83292031,-104.8144126,3,1,3,611310,"Colleges, Universities, and Professional Schools",10,1,11,"A","-2",-2,"COSPP|Colo School of Prof Psychology|Colo School of Prof Psych|UoR",-2,1,12,167,179,2,0,43,"http://nces.ed.gov/GLOBALLOCATOR/","www.rockies.edu",NA,"9/1/10"
442134,"Pima Medical Institute-Colorado Springs","3770 Citadel Drive North",NA,"Colorado Springs","CO",80909,NA,"US","7194827462",8,8041,38.84619922,-104.758017,9,3,3,611519,"Other Technical and Trade Schools",0,2,11,"A","-2",-2,NA,-3,1,0,623,623,2,0,31,"http://nces.ed.gov/GLOBALLOCATOR/","www.pmi.edu",NA,"9/1/10"
443289,"Toni & Guy Hairdressing Academy","322 Main St",NA,"Colorado Springs","CO",80911,NA,"US","7193909898",8,8041,38.75471364,-104.7418691,9,3,3,611511,"Cosmetology and Barber Schools",0,2,21,"A","-2",-2,NA,-3,1,0,48,48,2,0,16,"http://nces.ed.gov/GLOBALLOCATOR/","toniguyacademy.com/themes/default/common/ColoradoSprings.aspx",NA,"9/1/10"
448752,"College America-Colorado Springs","3645 Citadel Drive South",NA,"Colorado Springs","CO",80909,NA,"US","7196370600",8,8041,38.840858,-104.760241,3,1,3,611310,"Colleges, Universities, and Professional Schools",30,1,11,"A","-2",-2,NA,-3,1,0,425,425,2,0,30,"http://nces.ed.gov/GLOBALLOCATOR/",NA,NA,"1/15/10"
126182,"Adams State College","208 Edgemont Blvd",NA,"Alamosa","CO",81102,NA,"US","7195877011",8,8003,37.47723819,-105.8809429,1,1,1,611310,"Colleges, Universities, and Professional Schools",20,1,33,"A","-2",-2,NA,13,2,970,1860,2830,1,1061,435,"http://nces.ed.gov/GLOBALLOCATOR/","www.adams.edu",NA,"1/15/10"
126401,"Everest College-Colorado Springs","1815 Jet Wing Drive",NA,"Colorado Springs","CO",80916,NA,"US","7196386580",8,8041,38.80709465,-104.7402665,6,2,3,611210,"Junior Colleges",40,1,11,"A","-2",-2,NA,2,1,114,206,320,2,0,37,"http://nces.ed.gov/GLOBALLOCATOR/","www.everest.edu/campus/colorado_springs",NA,"9/1/10"
126580,"University of Colorado at Colorado Springs","1420 Austin Bluffs Parkway",NA,"Colorado Springs","CO",80918,NA,"US","7192623000",8,8041,38.8927346,-104.800296,1,1,1,611310,"Colleges, Universities, and Professional Schools",10,1,11,"A","-2",-2,"UCCS",12,3,3325,5604,8929,1,900,1111,"http://nces.ed.gov/GLOBALLOCATOR/","www.uccs.edu",NA,"9/1/10"
126678,"Colorado College","14. E Cache La Poudre St.",NA,"Colorado Springs","CO",80903,NA,"US","7193896000",8,8041,38.84657,-104.82422,2,1,2,611310,"Colleges, Universities, and Professional Schools",20,1,11,"A","-2",-2,NA,11,2,24,2002,2026,1,1524,742,"http://nces.ed.gov/GLOBALLOCATOR/","www.coloradocollege.edu",NA,"1/15/10"
126827,"Colorado Technical University","4435 N Chestnut Street",NA,"Colorado Springs","CO",80907,3812,"US","7195980200",8,8041,38.89426548,-104.8339281,3,1,3,611310,"Colleges, Universities, and Professional Schools",10,1,11,"A","-2",-2,"Colorado Tech |CTU",9,2,1452,785,2237,2,0,329,"http://nces.ed.gov/GLOBALLOCATOR/","www.coloradotech.edu",NA,"9/1/10"
127316,"Internatonal Salon and Spa Academy","5707 N Academy Blvd",NA,"Colorado Springs","CO",80918,3684,"US","7195971413",8,8041,38.91362121,-104.7862521,6,2,3,611519,"Other Technical and Trade Schools",0,2,11,"A","-2",-2,NA,-3,1,39,98,137,2,0,24,"http://nces.ed.gov/GLOBALLOCATOR/","www.csbeautyschools.com",NA,"9/1/10"
127680,"National American University-Colorado Springs","5125 North Academy Boulevard",NA,"Colorado Springs","CO",80918,4001,"US","7195908300",8,8041,38.90586669,-104.7775954,3,1,3,611310,"Colleges, Universities, and Professional Schools",30,1,11,"A","-2",-2,NA,6,1,189,88,277,2,0,41,"http://nces.ed.gov/GLOBALLOCATOR/","www.national.edu",NA,"9/1/10"
127820,"Pikes Peak Community College","5675 S Academy Blvd",NA,"Colorado Springs","CO",80906,5498,"US","7195022000",8,8041,38.765562,-104.787927,4,2,1,611210,"Junior Colleges",40,1,11,"A","-2",-2,"PPCC",4,4,7221,4480,11701,2,0,886,"http://nces.ed.gov/GLOBALLOCATOR/","www.ppcc.edu",NA,"1/15/10"
127839,"Intellitec Medical Institute","2345 North  Academy Boulevard",NA,"Colorado Springs","CO",80909,NA,"US","7195967400",8,8041,38.86575222,-104.7562273,6,2,3,611210,"Junior Colleges",40,1,11,"A","-2",-2,NA,2,1,0,309,309,2,0,51,"http://nces.ed.gov/GLOBALLOCATOR/",NA,NA,"9/1/10"
128179,"Intellitec College-Colorado Springs","2315 E. Pikes Peak Avenue",NA,"Colorado Springs","CO",80909,6096,"US","7196327626",8,8041,38.83218344,-104.7872104,6,2,3,611210,"Junior Colleges",40,1,11,"A","-2",-2,NA,2,1,0,380,380,2,0,39,"http://nces.ed.gov/GLOBALLOCATOR/","www.IntelliTecCollege.com",NA,"9/1/10"
128328,"United States Air Force Academy",NA,NA,"USAFA","CO",80840,5002,"US","7193336481",8,8041,39.008914,-104.885408,1,1,1,611310,"Colleges, Universities, and Professional Schools",30,1,21,"A","-2",-2,NA,14,2,0,4543,4543,1,4550,164,"http://nces.ed.gov/GLOBALLOCATOR/","www.usafa.edu",NA,"1/15/10"
127714,"Nazarene Bible College","1111 Academy Park Loop",NA,"Colorado Springs","CO",80910,3704,"US","7198845000",8,8041,38.81412365,-104.7511241,2,1,2,611310,"Colleges, Universities, and Professional Schools",30,1,11,"A","-2",-2,NA,-2,1,794,181,975,2,0,157,"http://nces.ed.gov/GLOBALLOCATOR/","www.nbc.edu",NA,"1/15/10"
444158,"Colorado Technical University Online","4435 N Chestnut-Ste E",NA,"Colorado Springs","CO",80907,NA,"US","8668131836",8,8041,38.89373535,-104.8342114,3,1,3,611310,"Colleges, Universities, and Professional Schools",20,1,11,"A","-2",-2,"Colorado Tech Online| CTU Online | CTU |",-2,5,0,26134,26134,2,0,1602,"http://nces.ed.gov/GLOBALLOCATOR/","www.ctuonline.edu",NA,"1/15/10"
128258,"Trinidad State Junior College","600 Prospect St",NA,"Trinidad","CO",81082,NA,"US","7198465011",8,8071,37.17293867,-104.5121842,4,2,1,611210,"Junior Colleges",40,1,33,"A","-2",-2,NA,2,2,902,790,1692,1,313,374,"http://nces.ed.gov/GLOBALLOCATOR/","www.trinidadstate.edu",NA,"1/15/10"
127778,"Otero Junior College","1802 Colorado Ave",NA,"La Junta","CO",81050,NA,"US","7193846831",8,8089,37.97118433,-103.5447787,4,2,1,611210,"Junior Colleges",40,1,33,"A","-2",-2,"Otero JC |OJC |Otero Jr. College",2,2,600,750,1350,1,240,297,"http://nces.ed.gov/GLOBALLOCATOR/","WWW.OJC.EDU",NA,"1/15/10"
127389,"Lamar Community College","2401 S Main St",NA,"Lamar","CO",81052,3999,"US","7193362248",8,8099,38.05806678,-102.6156124,4,2,1,611210,"Junior Colleges",40,1,33,"A","-2",-2,"LCC",2,2,615,465,1080,1,192,138,"http://nces.ed.gov/GLOBALLOCATOR/","www.lamarcc.edu",NA,"1/15/10"
128106,"Colorado State University-Pueblo","2200 Bonforte Blvd",NA,"Pueblo","CO",81001,4901,"US","7195492100",8,8101,38.30921943,-104.5798459,1,1,1,611310,"Colleges, Universities, and Professional Schools",20,1,12,"A","-2",-2,"CSU-Pueblo",12,3,1027,3552,4579,1,500,609,"http://nces.ed.gov/GLOBALLOCATOR/","www.colostate-pueblo.edu",NA,"9/1/10"
127884,"Pueblo Community College","900 West Orman Avenue",NA,"Pueblo","CO",81004,1499,"US","7195493200",8,8101,38.26345764,-104.6363956,4,2,1,611210,"Junior Colleges",40,1,12,"A","-2",-2,NA,3,3,2472,1853,4325,2,0,247,"http://nces.ed.gov/GLOBALLOCATOR/","www.pueblocc.edu",NA,"1/15/10"
244154,"ITT Technical Institute-Thornton","500 E 84th Ave Ste B12",NA,"Thornton","CO",80229,5338,"US","3032884488",8,8001,39.84736721,-104.9818095,3,1,3,611310,"Colleges, Universities, and Professional Schools",30,1,21,"A","-2",-2,NA,-2,1,196,554,750,2,0,95,"http://nces.ed.gov/GLOBALLOCATOR/","www.itt-tech.edu",NA,"9/1/10"
381796,"Kaplan College-Denver","500 E. 84th Ave., W-200",NA,"Thornton","CO",80229,NA,"US","3032950550",8,8001,39.84736721,-104.9818095,6,2,3,611210,"Junior Colleges",40,1,21,"A","-2",-2,NA,1,1,0,326,326,2,0,51,"http://nces.ed.gov/GLOBALLOCATOR/","www.kaplancollege.com",NA,"9/1/10"
404912,"Pima Medical Institute","7475 Dakin St Suite 100",NA,"Denver","CO",80221,NA,"US","3034261800",8,8001,39.830425,-105.001912,6,2,3,611210,"Junior Colleges",40,1,21,"A","-2",-2,NA,1,1,0,782,782,2,0,59,"http://nces.ed.gov/GLOBALLOCATOR/","www.pmi.edu",NA,"1/15/10"
366544,"Everest College-Aurora","14280 East Jewell Ave",NA,"Aurora","CO",80012,5692,"US","3037456244",8,8005,39.68123747,-104.8220339,6,2,3,611210,"Junior Colleges",40,1,11,"A","-2",-2,NA,2,2,113,452,565,2,0,43,"http://nces.ed.gov/GLOBALLOCATOR/","www.everest.edu/campus/aurora",NA,"9/1/10"
372356,"Xenon International Academy","2231 S Peoria",NA,"Aurora","CO",80014,NA,"US","3037521560",8,8005,39.67630796,-104.848602,6,2,3,611519,"Other Technical and Trade Schools",0,2,11,"A","-2",-2,NA,-3,1,0,49,49,2,0,11,"http://nces.ed.gov/GLOBALLOCATOR/","WWW.XENONINTL.COM",NA,"9/1/10"
410539,"Anthem College-Denver","350 Blackhawk Street",NA,"Aurora","CO",80011,NA,"US","7208597900",8,8005,39.72124307,-104.8230785,6,2,3,611210,"Junior Colleges",40,1,11,"A","-2",-2,NA,2,1,0,405,405,2,0,44,"http://nces.ed.gov/GLOBALLOCATOR/","www.anthem.edu",NA,"9/1/10"
381352,"Colorado School of Traditional Chinese Medicine","1441 York St Ste 202",NA,"Denver","CO",80206,NA,"US","3033296355",8,8031,39.739081,-104.959797,3,1,3,611310,"Colleges, Universities, and Professional Schools",20,1,11,"A","-2",-2,NA,-2,1,15,80,95,2,0,64,"http://nces.ed.gov/GLOBALLOCATOR/","www.cstcm.edu",NA,"1/15/10"
381361,"Massage Therapy Institute of Colorado","1441 York St Ste 301",NA,"Denver","CO",80206,NA,"US","3033296345",8,8031,39.739081,-104.959797,9,3,3,611519,"Other Technical and Trade Schools",0,2,11,"A","-2",-2,NA,-3,1,47,0,47,2,0,36,"http://nces.ed.gov/GLOBALLOCATOR/","www.mtic.edu",NA,"1/15/10"
381787,"Westwood College-Denver South","3150 S Sheridan Blvd",NA,"Denver","CO",80227,NA,"US","3039341122",8,8031,39.65406137,-105.0479417,3,1,3,611310,"Colleges, Universities, and Professional Schools",30,1,11,"A","-2",-2,NA,6,1,91,313,404,2,0,55,"http://nces.ed.gov/GLOBALLOCATOR/","www.westwood.edu",NA,"9/1/10"
405988,"University of Phoenix-Denver Campus","10004 Park Meadows Drive",NA,"Lone Tree","CO",80124,5453,"US","8004412981",8,8035,39.55164324,-104.8734205,3,1,3,611310,"Colleges, Universities, and Professional Schools",20,1,41,"A","-2",-2,NA,12,2,0,1957,1957,2,0,1083,"http://nces.ed.gov/GLOBALLOCATOR/","www.phoenix.edu",NA,"9/1/10"
262509,"Heritage College","12 Lakeside Ln",NA,"Denver","CO",80212,NA,"US","3034777240",8,8059,39.7825565,-105.0592215,6,2,3,611210,"Junior Colleges",40,1,21,"A","-2",-2,NA,1,1,0,629,629,2,0,50,"http://nces.ed.gov/GLOBALLOCATOR/","www.heritage-education.com",NA,"9/1/10"
381750,"Artistic Beauty Colleges-Arvada","6520 Wadsworth Blvd. #209",NA,"Arvada","CO",80003,NA,"US","5.70429E+13",8,8059,39.81496512,-105.0806467,6,2,3,611511,"Cosmetology and Barber Schools",0,2,21,"A","-2",-2,NA,-3,1,70,15,85,2,0,11,"http://nces.ed.gov/GLOBALLOCATOR/","www.empire.edu",NA,"9/1/10"
446978,"Colorado State University System Office","102 Administration Building",NA,"Fort Collins","CO",80523,100,"US","9704911101",8,8069,40.574759,-105.08083,0,1,1,611310,"Colleges, Universities, and Professional Schools",11,1,12,"A","-2",-2,NA,-3,-2,0,0,0,-2,0,27,"http://nces.ed.gov/GLOBALLOCATOR/","www.pres.colostate.edu",NA,"1/15/10"
454315,"Regency Beauty Institute-Fort Collins","2236 E Harmony Rd",NA,"Fort Collins","CO",80528,NA,"US","9705303044",8,8069,40.52374672,-105.0370498,9,3,3,611511,"Cosmetology and Barber Schools",0,2,-3,"N","-2",-2,NA,-3,1,15,54,69,2,0,0,"http://nces.ed.gov/GLOBALLOCATOR/",NA,NA,"9/1/10"
440590,"DeVry University-Colorado","1870 West 122nd Avenue, Ste. 316",NA,"Westminster","CO",80234,2010,"US","3032807400",8,8001,39.91943294,-105.0090111,3,1,3,611310,"Colleges, Universities, and Professional Schools",20,1,21,"A","-2",-2,NA,6,2,612,469,1081,2,0,145,"http://nces.ed.gov/GLOBALLOCATOR/","www.devry.edu",NA,"9/1/10"
444723,"Jones International University","9697 East Mineral Avenue",NA,"Centennial","CO",80112,NA,"US","8008115663",8,8005,39.57465445,-104.8759487,3,1,3,611310,"Colleges, Universities, and Professional Schools",10,1,21,"A","-2",-2,NA,6,2,880,817,1697,2,0,214,"http://nces.ed.gov/GLOBALLOCATOR/","www.jiu.edu",NA,"9/1/10"
447175,"Artistic Beauty Colleges-Aurora","16800 E. Mississippi Ave.",NA,"Aurora","CO",80017,NA,"US","5.70429E+13",8,8005,39.69593548,-104.7925717,6,2,3,611511,"Cosmetology and Barber Schools",0,2,11,"A","-2",-2,NA,-3,1,50,20,70,2,0,10,"http://nces.ed.gov/GLOBALLOCATOR/","artisticbeautycolleges.com",NA,"9/1/10"
451033,"Montessori Centre International Denver","9351 E Arbor Dr",NA,"Greenwood Village","CO",80111,NA,"US","3035237590",8,8005,39.60329183,-104.8800073,8,3,2,611519,"Other Technical and Trade Schools",0,2,-3,"N","-2",-2,NA,-3,1,0,12,12,2,0,0,"http://nces.ed.gov/GLOBALLOCATOR/",NA,NA,"9/1/10"
436261,"Southwest Acupuncture College-Boulder","6620 Gunpark Dr",NA,"Boulder","CO",80301,NA,"US","3035819955",8,8013,40.06944349,-105.1994708,3,1,3,611310,"Colleges, Universities, and Professional Schools",20,1,13,"A","-2",-2,NA,-2,1,1,117,118,2,0,35,"http://nces.ed.gov/GLOBALLOCATOR/","www.acupuncturecollege.edu",NA,"9/1/10"
431248,"The Colorado Center for Medical Laboratory Science","1719 E 19th Ave",NA,"Denver","CO",80218,1281,"US","3038396485",8,8031,39.74654151,-104.9677316,2,1,2,611519,"Other Technical and Trade Schools",0,2,11,"A","-2",-2,"HealthONE - School of Medical Technology",-3,1,0,18,18,2,0,4,"http://nces.ed.gov/GLOBALLOCATOR/","www.medlabed.org",NA,"9/1/10"
447838,"Cuttin' Up Beauty Academy","8101 E Colfax Ave",NA,"Denver","CO",80220,NA,"US","3033885700",8,8031,39.74042496,-104.8938028,9,3,3,611511,"Cosmetology and Barber Schools",0,2,11,"A","-2",-2,NA,-3,1,18,15,33,2,0,7,"http://nces.ed.gov/GLOBALLOCATOR/",NA,NA,"9/1/10"
448734,"Argosy University-Denver","1200 Lincoln St.",NA,"Denver","CO",80203,NA,"US","3032482700",8,8031,39.73560056,-104.9858191,3,1,3,611310,"Colleges, Universities, and Professional Schools",10,1,11,"A","-2",-2,NA,-3,1,53,206,259,2,0,37,"http://nces.ed.gov/GLOBALLOCATOR/","www.argosy.edu/denver/",NA,"9/1/10"
443632,"Ohio Center for Broadcasting-Colorado Campus","1310 Wadsworth Blvd. Suite 100",NA,"Lakewood","CO",80214,NA,"US","3039377070",8,8059,39.7373249,-105.0809025,9,3,3,611519,"Other Technical and Trade Schools",0,2,21,"A","-2",-2,NA,-3,1,0,166,166,2,0,36,"http://nces.ed.gov/GLOBALLOCATOR/","beonair.com",NA,"9/1/10"
447166,"Artistic Beauty Colleges-Littleton","8996 W. Bowles Ave. # E & F",NA,"Littleton","CO",80123,NA,"US","5.70429E+13",8,8059,39.60812818,-105.0970888,6,2,3,611511,"Cosmetology and Barber Schools",0,2,21,"A","-2",-2,NA,-3,1,60,25,85,2,0,13,"http://nces.ed.gov/GLOBALLOCATOR/","www.empire.edu",NA,"9/1/10"
450784,"Regency Beauty Institute-Lakewood","98 Wadsworth Blvd",NA,"Lakewood","CO",80226,NA,"US","7202140871",8,8059,39.71747055,-105.0796886,9,3,3,611511,"Cosmetology and Barber Schools",0,2,21,"A","-2",-2,NA,-3,1,18,34,52,2,0,6,"http://nces.ed.gov/GLOBALLOCATOR/",NA,NA,"9/1/10"
450793,"Regency Beauty Institute-Westminster","6755 West 88th Ave.",NA,"Westminster","CO",80031,NA,"US","7202141747",8,8059,39.85815009,-105.0727003,9,3,3,611511,"Cosmetology and Barber Schools",0,2,21,"A","-2",-2,NA,-3,1,23,52,75,2,0,6,"http://nces.ed.gov/GLOBALLOCATOR/",NA,NA,"9/1/10"
126818,"Colorado State University","102 Administration Building",NA,"Fort Collins","CO",80523,100,"US","9704911101",8,8069,40.574759,-105.08083,1,1,1,611310,"Colleges, Universities, and Professional Schools",11,1,12,"A","-2",-2,NA,15,5,5585,22211,27796,1,5240,8473,"http://nces.ed.gov/GLOBALLOCATOR/","www.colostate.edu",NA,"1/15/10"
448761,"College America-Fort Collins","4601 South Mason St",NA,"Fort Collins","CO",80525,NA,"US","9702254860",8,8069,40.56837107,-105.0923934,3,1,3,611310,"Colleges, Universities, and Professional Schools",30,1,12,"A","-2",-2,NA,-3,1,0,210,210,2,0,23,"http://nces.ed.gov/GLOBALLOCATOR/","www.collegeamerica.edu",NA,"1/15/10"
372329,"Institute of Business and Medical Careers","3842 South Mason Street",NA,"Fort Collins","CO",80525,NA,"US","9702232669",8,8069,40.52270102,-105.0452414,6,2,3,611210,"Junior Colleges",40,1,12,"A","-2",-2,NA,1,1,0,457,457,2,0,57,"http://nces.ed.gov/GLOBALLOCATOR/","www.ibmc.edu",NA,"1/15/10"
381699,"Cheeks International Academy of Beauty Culture","2925 South College Ave # 9",NA,"Fort Collins","CO",80525,NA,"US","9702261416",8,8069,40.53118588,-105.0801976,9,3,3,611511,"Cosmetology and Barber Schools",0,2,12,"A","-2",-2,NA,-3,1,10,23,33,2,0,0,"http://nces.ed.gov/GLOBALLOCATOR/","cheeksUSA.com",NA,"1/15/10"
127228,"Hair Dynamics Education Center","6464 S College",NA,"Fort Collins","CO",80525,NA,"US","9702239943",8,8069,40.49724053,-105.0764918,6,2,3,611511,"Cosmetology and Barber Schools",0,2,12,"A","-2",-2,NA,-3,1,0,165,165,2,0,22,"http://nces.ed.gov/GLOBALLOCATOR/","hairdynamics.edu",NA,"1/15/10"
127732,"Northeastern Junior College","100 College Avenue",NA,"Sterling","CO",80751,2944,"US","9705216600",8,8075,40.636879,-103.197536,4,2,1,611210,"Junior Colleges",40,1,41,"A","-2",-2,"NJC|Northeastern|Northeastern Jr College|NE Jr College|Northeastern Colorado|Northeastern Jr Co|Northeastern Community College|Northeast Jr College|Northeast|NE|NEJC|NE JC|NEJUCO|NE JU CO|NEJRCO|Northeastern Sterling|Northeastern JC|Sterling Junior Colle",2,2,1902,910,2812,1,465,236,"http://nces.ed.gov/GLOBALLOCATOR/","www.njc.edu",NA,"1/15/10"
127617,"Morgan Community College","920 Barlow Road",NA,"Fort  Morgan","CO",80701,NA,"US","9705423100",8,8087,40.258792,-103.771822,4,2,1,611210,"Junior Colleges",40,1,41,"A","-2",-2,NA,2,2,1196,403,1599,2,0,211,"http://nces.ed.gov/GLOBALLOCATOR/","www.morgancc.edu",NA,"1/15/10"
126207,"Aims Community College","5401 W. 20th St.",NA,"Greeley","CO",80632,NA,"US","9703308008",8,8123,40.40903694,-104.7643349,4,2,1,611210,"Junior Colleges",40,1,13,"A","-2",-2,NA,3,2,2808,1812,4620,2,0,611,"http://nces.ed.gov/GLOBALLOCATOR/","www.aims.edu",NA,"9/1/10"
127741,"University of Northern Colorado","Carter Hall - Rm 4000",NA,"Greeley","CO",80639,NA,"US","9703511890",8,8123,40.403178,-104.701721,1,1,1,611310,"Colleges, Universities, and Professional Schools",10,1,13,"A","-2",-2,NA,16,4,2150,9775,11925,1,3030,1509,"http://nces.ed.gov/GLOBALLOCATOR/","www.unco.edu",NA,"1/15/10"
449454,"Academy of Natural Therapy","625 8th Ave",NA,"Greeley","CO",80631,NA,"US","9703521181",8,8123,40.52621606,-104.7124517,9,3,3,611519,"Other Technical and Trade Schools",0,2,13,"A","-2",-2,NA,-3,1,0,37,37,2,0,15,"http://nces.ed.gov/GLOBALLOCATOR/","www.natural-therapy.com",NA,"1/15/10"
381705,"Cheeks International Academy of Beauty Culture","2547b 11th Ave",NA,"Greeley","CO",80631,NA,"US","9703524550",8,8123,40.39677727,-104.6965128,9,3,3,611511,"Cosmetology and Barber Schools",0,2,13,"A","-2",-2,NA,-3,1,15,25,40,2,0,0,"http://nces.ed.gov/GLOBALLOCATOR/",NA,NA,"1/15/10"
127024,"Westwood College-Denver North","7350 N Broadway",NA,"Denver","CO",80221,NA,"US","3034267000",8,8001,39.8304289,-104.9863864,3,1,3,611310,"Colleges, Universities, and Professional Schools",20,1,21,"A","-2",-2,NA,9,3,1146,4697,5843,2,0,833,"http://nces.ed.gov/GLOBALLOCATOR/","www.westwood.edu",NA,"9/1/10"
127787,"Everest College-Thornton","9065 Grant St",NA,"Thornton","CO",80229,NA,"US","3034572757",8,8001,39.86155967,-104.9854413,6,2,3,611210,"Junior Colleges",40,1,21,"A","-2",-2,NA,2,1,287,427,714,2,0,43,"http://nces.ed.gov/GLOBALLOCATOR/","www.everest.edu/campus/thornton",NA,"9/1/10"
128203,"Artistic Beauty Colleges-Westminster","3049 W 74 Ave",NA,"Westminster","CO",80030,NA,"US","5.70429E+13",8,8001,39.83161519,-105.0269203,6,2,3,611511,"Cosmetology and Barber Schools",0,2,21,"A","-2",-2,NA,-3,1,40,10,50,2,0,8,"http://nces.ed.gov/GLOBALLOCATOR/","www.empire.edu",NA,"9/1/10"
